Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
730,52.657409350287004,58.78065814628546
731,52.72185497870838,58.82250385381593
732,52.726501255345944,58.838525946685444
733,52.74827789577515,58.91891271785046
734,52.792838407553916,59.00512230262639
735,52.87575738608088,59.034985980514875
736,52.953971486891646,59.150231265872016
737,52.975121068325265,59.180950175771514
738,53.105607660696286,59.19697226864103
739,53.161070226042305,59.21299436151054
740,53.23357050010158,59.267045018577996
741,53.23821677673914,59.2913515366822
742,53.32466933407869,59.36003674974785
743,53.32931561071625,59.37605884261736
744,53.36114196922408,59.45041678152141
745,53.365788245861644,59.64163946348604
746,53.396115165980746,59.65766155635555
747,53.42645021297584,59.67368364922506
748,53.561272875672636,59.689705742094574
749,53.58909446704389,59.81350710040025
750,53.639302818955215,59.87674675737723
751,53.777896030860106,59.96591932029429
752,53.83607394935824,60.01154292177766
753,53.873090412414555,60.041902753149444
754,53.87773668905212,60.0629743096625
755,53.88238296568968,60.14076305100269
756,53.887029242327245,60.16511895729567
757,53.8916755189648,60.20322646912935
758,53.94456224345693,60.246965750454955
759,53.984688441118394,60.27830019950269
760,54.00282651146936,60.36780667899897
761,54.052823149213836,60.388353786040625
